,vertical_column_troposphere,day
0,3.0063028016945665,2023-08-02
0,2.6758143863936845,2023-08-04
0,2.04466687952725,2023-08-05
0,1.670500423041503,2023-08-06
0,0.9983116079661472,2023-08-07
0,1.8763287264593203,2023-08-08
0,0.888147979779812,2023-08-09
0,1.9698165051294303,2023-08-11
0,1.805176424473013,2023-08-12
0,3.1958575400982103,2023-08-15
0,3.448792214719168,2023-08-16
0,3.271599293903021,2023-08-17
0,3.1030855705571403,2023-08-18
0,2.741858538923427,2023-08-19
0,3.2946603309623725,2023-08-20
0,2.6447158929130077,2023-08-21
0,2.973704287631876,2023-08-22
0,3.6891484361561266,2023-08-23
0,3.4357922239941523,2023-08-25
0,3.15249574611082,2023-08-26
0,3.587278378212579,2023-08-27
0,4.787025773212136,2023-08-28
0,4.104447766344839,2023-08-29
0,2.7145535594102985,2023-08-30
0,3.5947879087085624,2023-08-31
0,4.1426812620967155,2023-09-01
0,3.257096846498427,2023-09-02
0,2.982559388273327,2023-09-03
0,3.841392660718789,2023-09-04
0,3.1082063968132476,2023-09-05
0,2.966193239164443,2023-09-06
0,4.319980674639246,2023-09-07
0,2.965461649280026,2023-09-09
0,2.5524001211180667,2023-09-10
0,5.160752087675996,2023-09-11
0,3.233896074597095,2023-09-12
0,4.192157291387858,2023-09-13
0,4.841740468553124,2023-09-14
0,3.665145090689885,2023-09-15
0,4.902155879500937,2023-09-16
0,2.6892365127787845,2023-09-17
0,2.856676692439343,2023-09-18
0,3.5796896524763673,2023-09-19
0,2.6877944011122183,2023-09-20
0,2.4804886826978945,2023-09-21
0,4.085459550711382,2023-09-22
0,3.654940292423899,2023-09-23
0,11.22002565611057,2023-09-24
0,5.569510899110047,2023-09-25
0,3.8743392023332723,2023-09-26
0,3.3208483640597186,2023-09-27
0,5.051490840081144,2023-09-28
0,3.0687474898256366,2023-09-29
0,2.6480882765361966,2023-09-30
0,2.9838391429114983,2023-10-01
0,2.979375627964556,2023-10-02
0,3.4590120677487217,2023-10-03
0,3.113810710266699,2023-10-04
0,3.9043322605676054,2023-10-05
0,3.626477015821786,2023-10-06
0,2.6187936304114077,2023-10-07
0,2.6108590142546717,2023-10-08
0,5.122523783417,2023-10-09
0,6.409845786616921,2023-10-10
0,5.615901282083918,2023-10-11
0,2.512432455875896,2023-10-12
0,4.371165886408364,2023-10-13
0,2.939088848972572,2023-10-14
0,3.1477377807251443,2023-10-15
0,2.4698526907053093,2023-10-16
0,2.983340894239814,2023-10-17
0,3.8833398926017964,2023-10-18
0,3.489056446116534,2023-10-19
0,2.6887958248920705,2023-10-20
0,3.450546840218791,2023-10-21
0,4.602565190046255,2023-10-22
0,4.325795210404971,2023-10-23
0,2.6137280258174234,2023-10-24
0,2.692463614304642,2023-10-25
0,3.17971877435941,2023-10-26
0,3.330843029339707,2023-10-27
0,2.8846778920966196,2023-10-28
0,2.5062600452285193,2023-10-29
0,4.491175410750951,2023-10-30
0,3.16075556638326,2023-10-31
0,2.3596837177286885,2023-11-01
0,3.484026694478575,2023-11-02
0,2.7047023079879775,2023-11-03
0,3.0183434695175806,2023-11-04
0,3.313519051678021,2023-11-05
0,4.158547124670983,2023-11-06
0,2.76967465040295,2023-11-07
0,2.8017570937450427,2023-11-08
0,3.2537592071932857,2023-11-09
0,7.291841421084506,2023-11-10
0,4.870940695486326,2023-11-11
0,4.107530131019925,2023-11-12
0,0.7985513869817171,2023-11-13
0,3.4307547105543423,2023-11-14
0,2.780575673189919,2023-11-15
0,1.7945847246977897,2023-11-16
0,6.462401151658911,2023-11-17
0,3.3775554302480364,2023-11-18
0,4.199564778425392,2023-11-19
0,4.234396231492208,2023-11-20
0,5.59131596386594,2023-11-21
0,3.1044335275242854,2023-11-22
0,9.420482902352392,2023-11-23
0,5.553498796799643,2023-11-24
0,3.577360532610821,2023-11-25
0,6.433033157025933,2023-11-26
0,3.210813391171657,2023-11-27
0,3.201500220209267,2023-11-28
0,5.87521629180083,2023-11-29
0,12.035203267446915,2023-11-30
0,3.0837304264681653,2023-12-01
0,3.372825135467625,2023-12-02
0,4.028763371159933,2023-12-03
0,2.683595985301265,2023-12-04
0,1.9607995554557487,2023-12-05
0,2.244958189163288,2023-12-06
0,4.682574685773253,2023-12-07
0,4.034649471088552,2023-12-08
0,1.613362923622343,2023-12-09
0,2.299315263033172,2023-12-10
0,4.029283318895926,2023-12-11
0,4.457863962086824,2023-12-12
0,2.2781913139455887,2023-12-13
0,2.896162284830501,2023-12-14
0,4.137703713289113,2023-12-15
0,8.873714371904223,2023-12-16
0,2.1431568943819035,2023-12-17
0,3.97160247279808,2023-12-18
0,4.359237968649231,2023-12-19
0,4.240542750395409,2023-12-20
0,3.825222009327775,2023-12-21
0,6.138785555330528,2023-12-22
0,3.240403277033033,2023-12-23
0,4.106729772001669,2023-12-24
0,2.4313169348579624,2023-12-25
0,1.8005668498286065,2023-12-26
0,3.3541783163302497,2023-12-27
0,4.1237653647439325,2023-12-28
0,4.659030443277012,2023-12-29
0,4.917506574028488,2023-12-30
0,4.2402860585767765,2023-12-31
0,4.546773540692477,2024-01-01
0,3.88194272961913,2024-01-02
0,3.418168893295513,2024-01-03
0,4.675479612335345,2024-01-04
0,37.379333923698496,2024-01-05
0,4.696510420271697,2024-01-06
0,1.4104351730033067,2024-01-07
0,30.528257975541543,2024-01-08
0,4.040927476714197,2024-01-09
0,3.5278866596920535,2024-01-10
0,4.13484393489089,2024-01-11
0,2.506216464846917,2024-01-12
0,2.239732625139855,2024-01-13
0,6.014154652580873,2024-01-14
0,6.058683365531394,2024-01-15
0,2.869446432088646,2024-01-16
0,4.611464716292843,2024-01-17
0,4.338278350087599,2024-01-18
0,3.8477921695474486,2024-01-19
0,3.8348278827068527,2024-01-20
0,5.151459729455204,2024-01-21
0,4.925924396312582,2024-01-22
0,6.183355257543428,2024-01-23
0,4.216867604418536,2024-02-01
0,6.070432121720058,2024-02-02
0,13.73991002391669,2024-02-03
0,4.602433289580115,2024-02-04
0,5.692799072693555,2024-02-05
0,4.09832051472527,2024-02-06
0,4.282487650234785,2024-02-07
0,4.6293428651297,2024-02-08
0,2.36647002637768,2024-02-09
0,2.274286646933332,2024-02-10
0,3.9323402127067406,2024-02-11
0,3.308211502049238,2024-02-12
0,4.464544424285105,2024-02-13
0,5.938506831971878,2024-02-14
0,6.10537579720952,2024-02-15
0,6.515701844848192,2024-02-16
0,9.22218376577005,2024-02-17
0,2.624350060757186,2024-02-18
0,5.8458201987243,2024-02-19
0,4.607405467032296,2024-02-20
0,2.774149348592112,2024-02-21
0,1.0532054238212498,2024-02-22
0,3.0677612135568166,2024-02-23
0,3.7807829529734467,2024-02-24
0,4.596527114085778,2024-02-25
0,2.0952598511489513,2024-02-26
0,1.8180627286711142,2024-02-27
0,4.621226593057701,2024-02-28
0,8.64533219897096,2024-02-29
0,9.239996034024397,2024-03-01
0,6.296105238831032,2024-03-02
0,3.054862224129705,2024-03-03
0,5.062501108747186,2024-03-04
0,8.282438805641387,2024-03-05
0,3.202648644961941,2024-03-06
0,4.44812292572955,2024-03-07
0,4.999578060653309,2024-03-08
0,3.6542623414189537,2024-03-09
0,2.490329724882059,2024-03-10
0,5.701220685329742,2024-03-11
0,5.371611987887806,2024-03-12
0,3.1169171273901615,2024-03-13
0,3.94015786372626,2024-03-14
0,6.106774629943066,2024-03-15
0,6.277344535510722,2024-03-16
0,23.091869541149375,2024-03-17
0,3.5017317131502526,2024-03-18
0,3.925438169760473,2024-03-19
0,8.906349594231862,2024-03-20
0,23.73970253041072,2024-03-21
0,3.041195995420751,2024-03-22
0,2.0382410481620807,2024-03-23
0,3.371973259290071,2024-03-24
0,2.403789363975594,2024-03-25
