,vertical_column_troposphere,day
0,1.73460502995173,2023-08-02
0,1.5250502221051563,2023-08-04
0,1.374010179971356,2023-08-05
0,1.6076315727152672,2023-08-06
0,0.941699576658496,2023-08-07
0,1.0723347127780298,2023-08-08
0,0.9079987667004641,2023-08-09
0,1.7539597991297562,2023-08-11
0,1.0669537268487452,2023-08-12
0,3.86991602248368,2023-08-15
0,1.681749952425656,2023-08-16
0,1.4417480746297267,2023-08-17
0,1.7931225184327477,2023-08-18
0,1.6560465472824253,2023-08-19
0,2.0746869201393507,2023-08-20
0,1.7886409099954939,2023-08-21
0,1.7224436814184596,2023-08-22
0,2.4159688015848917,2023-08-23
0,2.1619351554035555,2023-08-25
0,1.748697854943485,2023-08-26
0,2.8440856720443364,2023-08-27
0,2.813342410622891,2023-08-28
0,1.790250876834909,2023-08-29
0,1.7752635772686005,2023-08-30
0,2.004789909564654,2023-08-31
0,2.397994087736732,2023-09-01
0,2.098025453418916,2023-09-02
0,1.506278256203477,2023-09-03
0,1.9222353542757984,2023-09-04
0,1.2438543222459078,2023-09-05
0,1.5542735942918982,2023-09-06
0,3.1929983149851946,2023-09-07
0,1.7520251404864426,2023-09-09
0,2.074089900391765,2023-09-10
0,3.1675779909295687,2023-09-11
0,1.757866299519892,2023-09-12
0,3.623756170875445,2023-09-13
0,2.417389976232108,2023-09-14
0,2.7372935159031204,2023-09-15
0,2.420962332501442,2023-09-16
0,1.8430842850017306,2023-09-17
0,1.7214820174800138,2023-09-18
0,1.8186198653344143,2023-09-19
0,1.4332026768633905,2023-09-20
0,1.3729276116289062,2023-09-21
0,3.1947563117212954,2023-09-22
0,1.776084584452659,2023-09-23
0,9.558016958259874,2023-09-24
0,3.236991959445657,2023-09-25
0,1.862696280541689,2023-09-26
0,2.031804726555841,2023-09-27
0,2.7438955334447206,2023-09-28
0,1.9342817337590266,2023-09-29
0,1.9414315725659947,2023-09-30
0,2.1710005049990673,2023-10-01
0,1.9682803977890637,2023-10-02
0,1.7822389346416398,2023-10-03
0,1.7132871065229898,2023-10-04
0,2.5575192025591744,2023-10-05
0,1.96199136799124,2023-10-06
0,1.6952311524308608,2023-10-07
0,1.5958356539707972,2023-10-08
0,2.389589666729935,2023-10-09
0,2.8078672164870646,2023-10-10
0,3.233715387528715,2023-10-11
0,1.2261326301365638,2023-10-12
0,1.7265997486954663,2023-10-13
0,1.5504929907854763,2023-10-14
0,1.5553683366569928,2023-10-15
0,1.3377792619821032,2023-10-16
0,1.6384382926799863,2023-10-17
0,1.8638708304751093,2023-10-18
0,2.051595494263694,2023-10-19
0,1.7735459260656772,2023-10-20
0,1.9044667157022295,2023-10-21
0,2.310792397657239,2023-10-22
0,1.8376486947115267,2023-10-23
0,1.381254959978982,2023-10-24
0,1.3329823357590687,2023-10-25
0,1.5213498956471188,2023-10-26
0,1.7563043898137556,2023-10-27
0,1.1763046838370523,2023-10-28
0,1.0991677049762716,2023-10-29
0,2.1801868779257876,2023-10-30
0,1.9958655682508868,2023-10-31
0,1.5275744744154292,2023-11-01
0,1.6613626098167162,2023-11-02
0,1.3847426368013507,2023-11-03
0,1.4399171266787347,2023-11-04
0,1.6317353391715705,2023-11-05
0,2.0990051410773294,2023-11-06
0,1.9766118705484284,2023-11-07
0,2.105740400168008,2023-11-08
0,3.176570838412124,2023-11-09
0,3.7617047868362774,2023-11-10
0,3.4173548043664286,2023-11-11
0,2.8630085773918226,2023-11-12
0,3.2506820447201314,2023-11-13
0,2.6959702326017414,2023-11-14
0,1.3031135278142838,2023-11-15
0,0.9053701913561597,2023-11-16
0,2.81683430534818,2023-11-17
0,1.9015619000163602,2023-11-18
0,1.8589673667570388,2023-11-19
0,2.1340227483437126,2023-11-20
0,2.6030219157153307,2023-11-21
0,1.9483572056954037,2023-11-22
0,4.582945888693975,2023-11-23
0,3.3134491679838445,2023-11-24
0,2.5164832965933366,2023-11-25
0,3.1179586247347326,2023-11-26
0,1.8539546157889115,2023-11-27
0,1.9839201756191402,2023-11-28
0,2.819131823668922,2023-11-29
0,5.640871203672615,2023-11-30
0,3.044413794621567,2023-12-01
0,3.7907268472200206,2023-12-02
0,2.3614365700751465,2023-12-03
0,1.992135786649967,2023-12-04
0,1.5996793531355857,2023-12-05
0,1.4047202417658073,2023-12-06
0,1.943976603765377,2023-12-07
0,2.397194965433534,2023-12-08
0,1.4346877885525473,2023-12-09
0,1.5669733173158673,2023-12-10
